Rank, Name, Platform, Country, Wins, Games
423,NC Aspect.,Windows,US,1239,4601
423,Twitch_azhTV,Windows,SE,1239,4066
425,twitch.Hycel,Windows,PL,1238,2672
426,ã‚_ã‚…ãÅ®ãÅ_,Windows,JP,1237,3754
427,SÉ‘n0pÉ‘ ã‚·,Windows,DE,1236,5863
428,BudzyTV,Windows,US,1234,4192
428,lemonenhase,Windows,DE,1234,3602
430,6ixJay,Windows,CH,1232,4087
431,Maik4life,Windows,FI,1230,2940
431,Pvt.Brokutt,Windows,MY,1230,6820
433,SUP Cyraxle,Windows,TR,1229,5153
433,Connerty,Windows,CZ,1229,5252
435,MvG Gaunelis,Windows,AR,1228,5729
435,ä_‚vii. â„œÊèuu,Windows,PH,1228,7639
437,AMZ-Washington,Windows,BR,1227,4875
437,SCARZ ãÅ‚ã‚‹ãÅµãÅ‰ãƒ_ãÅ¨,Windows,JP,1227,3364
439,FÃŸ-SimonKinGz,Windows,MY,1226,7997
439,ZeroBBQYT,Windows,US,1226,6897
439,Yiuon,Windows,GB,1226,5741
439,OhTyTy,Windows,,1226,3361
439,Twitch beehive,Windows,SE,1226,2591
444,KLIM MayleeTeul,Windows,FR,1225,3189
444,Lasius Twitch,Windows,US,1225,5276
444,Knights Laxnacke,Windows,SE,1225,4422
447,oualaoup,Windows,BE,1223,8485
447,HCK BrW0lf,Windows,BR,1223,3578
447,Venndetta.,Windows,ra,1223,3913
450,StÑ‘ynn,Windows,FR,1222,3509
450,PAO FantasyStar,Windows,GR,1222,6850
452,BOT TÃªnnp0,Windows,US,1221,4140
452,6Tempeh3,Windows,,1221,6578
452,TwitchWilfredBE,Windows,BE,1221,5484
455,zAuGz,Windows,US,1220,4355
455,epiqueness,Windows,BG,1220,3483
457,HORICAN,Windows,,1219,4715
458,Lst_K1NNG,Windows,,1218,5679
458,TTV GS_wArpAtH,Windows,PE,1218,3821
458,Kaynehril,Windows,PT,1218,4952
461,MaverÃ_ckByLogan,Windows,DK,1217,3215
461,Ice_FrostyX,Windows,,1217,4461
461,twitch_blex1,Windows,NO,1217,4680
464,HMTz-Grim,Windows,SG,1216,4880
465,Kitt_µn,Windows,AU,1215,3357
465,tr_°ncer,Windows,LV,1215,4415
465,anoldman420,Windows,,1215,7545
468,rarax,Windows,US,1214,5080
469,LucaToni3999,Windows,DE,1213,3005
469,No21,Windows,,1213,4026
471,fragman_tv,Windows,,1212,3361
471,Jayste,Windows,GB,1212,5109
473,ìœ í_œë¸Œí‚_ì_¬í›ˆ,Windows,,1210,3747
473,aX_godislo,Windows,LT,1210,4279
475,CPT Bope,Windows,,1209,7396
475,ISG OSHÃ˜,Windows,AR,1209,3650
477,BD Fall X,Windows,BR,1208,5193
477,VIP. Tuáº¥n DÅ©ng,Windows,VN,1208,4556
477,Twitch.GryphonRB,Windows,ra,1208,4617
480,Dat1Goat.,Windows,US,1207,4358
481,SUP TitanN,Windows,TR,1206,3926
481,SG Ò“Ê€á´‡ÉªÊ€á´‡É¢,Windows,,1206,9106
483,twitch_vanleet,Windows,NO,1204,5720
483,Elite-Survivor,Windows,,1204,8141
483,Cryochasm,Windows,AU,1204,3249
483,TTV CracklyPeach,Windows,ra,1204,4787
487,Haml1 - Twitch,Windows,SE,1203,3356
488,_£Ñˆ_µ_» __ ___°___°_·_¸__,Windows,RU,1202,3514
488,xChakaBearTV,Windows,US,1202,4796
488,Cr34tive0711,Windows,DE,1202,3645
488,MF Twizz,Windows,NZ,1202,3352
488,DIEU CRÃ‰A M4ST_,Windows,FR,1202,5947
493,TTV.Cooke93,Windows,CA,1201,6710
493,MistaTicklez.TV,Windows,CA,1201,4233
495,Yngwieschvank,Windows,AR,1200,2430
495,0RYX_,Windows,TR,1200,3307
497,WKG Jazz,Windows,NL,1198,3154
497,MrGodBag,Windows,,1198,5604
499,RansomSubject,Windows,AU,1197,4063
500,TSG NEWMiTy ãƒ„,Windows,BR,1196,5252
